cid,class,num_points_sdssu,num_points_sdssg,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
679,Unknown,20,21,0,0.124957,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
682,Unknown,35,37,0,0.048551,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
685,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
688,Unknown,20,20,0,0.067866,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
691,Unknown,21,21,0,0.130903,53613.6306523837,2.4872106807506817e-05,-0.36156519051399993,-0.12259627925693993,nan,0.002372669718170073,5.403582770325448e-06,1.02206606748323,1.0197792684498836,121.8631455477134,38,Covariance may not be accurate.
694,Unknown,35,37,0,0.127493,53622.82652579386,4.607164104296386e-05,0.06176020997762352,0.12409377059025484,nan,0.0014401686057681218,8.74437605115014e-07,0.23955606903073717,0.06400728951275386,273.887449508386,68,Covariance may not be accurate.
696,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
697,Unknown,41,42,0,0.156675,53619.34353164818,7.5170062315548155e-06,4.350994616503949,0.41454636896119407,nan,0.009475449554884108,5.642227418968683e-07,1.369949129006463,0.08031003565418598,220.5815255952175,121,Minimization exited successfully.
701,Unknown,21,22,0,0.20657,53607.85257418727,2.698494210598671e-05,-1.9348471902459172,0.16648542894264132,nan,0.0012182866375951562,2.461327260330467e-06,0.556317311793859,0.0952497581393677,81.48872083065733,61,Minimization exited successfully.
703,zSNIa,0,22,0,0.298042,53626.14686438533,1.3674171588146954e-05,0.09976500935970967,0.0384630905828764,nan,0.6256033755089447,6.918618605133456e-07,0.6684148574050497,0.05771507494772324,31.98234581252668,40,Minimization exited successfully.
704,Unknown,22,22,0,0.206416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cannot convert float NaN to integer
706,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
711,Unknown,0,0,0,1.11398,53691.618670893484,3.3364098547868884e-06,5.436611535822258,-0.2595733304098132,nan,2.7726804406593146,7.23723357922665e-07,2.653953647283287,0.05130929199464224,243.32877804757163,56,Minimization exited successfully.
714,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
716,zSNII,0,42,0,0.324,53640.98856760543,2.6394718215359783e-05,12.735743145409701,-0.030184539817228108,nan,0.13256910437849,5.676379265001915e-07,0.44890842577055307,0.010185711402156093,1873.3430075303,79,Minimization exited successfully.
717,Unknown,20,20,0,0.130392,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
722,SNIa,21,21,0,0.086341,53613.94205781934,0.0001515173949031079,-0.5432355034869653,0.017322527227806438,nan,0.0002463613527652342,6.1764221424601175e-06,0.27606636982344934,0.04928682252796077,546.640951913051,38,Minimization exited successfully.
735,zSNIa,20,21,0,0.190858,53608.73240607057,2.6516838238461683e-05,-2.1567562662794604,-0.10062555678002492,nan,0.0004561247260426171,1.9683518204759357e-06,0.46234828006877754,0.08563184175821065,57.88972982162688,57,Covariance may not be accurate.
739,SNIa,20,20,0,0.107638,53610.99599310661,0.00010420387317393504,-1.7395377099778553,0.19684488657499968,nan,0.00045503592264140025,2.96720775352516e-06,0.18228888040533642,0.1113635824345496,234.57942364088908,36,Covariance may not be accurate.
744,SNIa,21,20,0,0.128251,53616.72844545926,5.705949628427514e-05,0.4405711145898081,0.3184332349847248,nan,1.1392472515581176e-05,2.0055028325421098e-06,0.3187850186877532,0.15919877676424746,179.21398159576358,37,Minimization exited successfully.
746,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
747,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
750,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
762,SNIa,20,20,0,0.191381,53616.90297476527,2.568163802043671e-05,10.137188652608039,0.036173549915507454,nan,0.4221181382126815,9.312267521523124e-07,0.8564988652391403,0.025577717526347545,193.9741252233549,56,Minimization exited successfully.
763,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
764,zSNII,19,21,0,0.187068,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.187068
    t0 = +53727.886869
    x0 = +1900469495.167731
    x1 = -314.521258
     c = -1095.803640
"
765,zSNII,0,24,0,0.261047,53632.98999941102,7.255046879362963e-06,14.365991740707747,-0.13791112292989516,nan,0.5304890677580261,6.378366113158294e-07,2.4401444952063605,0.04891832520260224,240.15407979419578,44,Minimization exited successfully.
766,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
770,Unknown,0,23,0,0.042391,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
